category_scores,hotkey,last_submit,screener_passed,status,total_score
"{'Easy': 0.584475214194847, 'Medium': 0.9744873616925416, 'Hard': 0.8959052569072066}",5Ctm5ycYHogNi9g8KtsviCYiiqnjKBHEurm1PSBGcgRV2cKd,2026-06-11T18:07:49.856904Z,True,scored,0.872605297830523
"{'Easy': 0.6647182246264496, 'Medium': 0.834666409884961, 'Hard': 1.0970304299040032}",5GhVbHSRGtfbmFnrhHJC6Bto5h8GB6irgthQCaP174V4v35f,2026-06-14T00:25:01.704247Z,True,scored,0.8695179364637617
"{'Easy': 0.689128855666004, 'Medium': 0.757198444169151, 'Hard': 0.904307379241259}",5Cvk1FdGYiL2c7KPztRUUwsPxvozhvrk6YFDBgMfDLpe3NcV,2026-06-11T02:43:30.970411Z,True,scored,0.8655822656609287
{'Easy': 0.8626816449995385},5E6zgcVJmJBA9MYiXb43PvGiJjmRn58BrfyvkjmND5WXJKnn,2026-06-16T15:37:01.667277Z,False,in queue,0.8626816449995385
"{'Easy': 0.9616085255552811, 'Medium': 0.8307002961543644, 'Hard': 0.7859898491291384}",5DvQk4fgQt1pAEVfwbZn4gaquGSZHrC58ysHgNWSwfpuSiqA,2026-06-13T19:55:42.204797Z,True,scored,0.8573893775740808
"{'Easy': 0.8259442264413188, 'Medium': 0.7384949780690526, 'Hard': 0.9878005925620696}",5CZgBHpiWanScWosDAWksEDh1onVpjtLheSSdG56dRDTCAbB,2026-06-16T15:34:21.017866Z,True,evaluating,0.846477432084578
"{'Easy': 1.0884332994585666, 'Medium': 0.7548235742137672, 'Hard': 0.6899099664703234}",5EUVimNNDNrwodVB1LfzfhMzUdvG2pwfXWrmgBG4X3NG5wSb,2026-06-11T20:23:39.681488Z,True,scored,0.8395080596593321
"{'Easy': 0.7000114875489283, 'Medium': 0.6912029436883378, 'Hard': 0.73464425087686}",5GgqHgSdxgALgAMbweEZ879sk3upkY7ZGjeecAan8zixcnVG,2026-06-12T21:37:28.054909Z,True,scored,0.8109447250165092
"{'Easy': -0.17707823006538437, 'Medium': 0.9190443699072981, 'Hard': 0.8465118833477483}",5E2hs3PFs7Y3Urc6quckaSy11xNz5r2KXJ5Q4zjHKSmu2YdE,2026-06-15T15:34:50.647242Z,True,scored,0.8056756980231663
"{'Easy': 0.8529917720396156, 'Medium': 0.8652611450999617, 'Hard': 0.689122963739667}",5FesCeceNNdWz5uD9jgnbLDgJAMa5oBD2f5eVQtEhT78R7BU,2026-06-11T23:04:51.642057Z,True,scored,0.8014479640581502
"{'Easy': 0.29697608236134876, 'Medium': 0.9022885638630189, 'Hard': 0.9237738766630113}",5GRRZUYceeswCMT4AQoKMKLRvXgK1Njwfm6XMKaturFqP626,2026-06-09T17:08:58.391103Z,True,scored,0.7812855496226465
