name,hotkey,task_id,task_name,is_screener,pass_without,pass_with,tokens_without,tokens_with,comp_ratio,platform_score,run_count
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,223,django__django-11133,False,True,True,1133375,410694.2,2.76,1.448953142045923,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,224,django__django-15569,False,True,True,1827000,312068,5.854,0.5646228243960577,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,225,django__django-11239,False,True,False,432782,327186.6,1.323,-1.4970649978007926,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,226,django__django-15851,False,True,True,439968,308544.4,1.426,1.1818536869152145,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,227,django__django-11299,False,False,True,917488,801919,1.144,1.7835895948055107,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,228,django__django-15863,True,True,True,574499,789504.6,0.728,0.8470799936059962,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,229,django__django-11490,False,False,False,1021877,815734.2,1.253,-0.0043500508385784465,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,230,django__django-15930,False,False,False,713141,791087.2,0.901,-0.03048033815183928,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,231,django__django-11555,False,False,False,2033013,680976.4,2.985,-0.5473021624527591,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,232,django__django-16100,False,True,True,664367,345133.4,1.925,1.4056857176336612,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,233,django__django-11603,False,True,True,782437,337992.2,2.315,1.9940901351895577,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,234,django__django-16139,True,True,True,542683,350614.6,1.548,1.2218702974360958,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,235,django__django-11951,False,True,True,1041765,443130.2,2.351,0.33697134608673185,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,236,django__django-16255,False,True,True,647943,293273.8,2.209,1.3839634440655517,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,237,django__django-12308,False,False,False,1797234,521578.2,3.446,1.0604779164140035,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,238,sympy__sympy-15017,False,True,True,1129225,616501.6,1.832,0.2399110100650727,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,239,django__django-12419,False,True,True,1493751,325550.2,4.588,1.9126134806950503,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,240,sympy__sympy-15345,False,False,False,756373,293181,2.58,0.07797088122053845,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,241,django__django-13363,False,True,True,1122536,323301.4,3.472,2.871773422887288,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,242,sympy__sympy-15809,False,True,True,707107,447686.2,1.579,1.220451655428888,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,243,django__django-13417,False,True,True,1358706,617355,2.201,0.9593150478816005,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,244,sympy__sympy-15875,False,False,False,705372,371022,1.901,-0.6430421870544284,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,245,django__django-13741,False,True,True,673863,286538,2.352,1.4167693985216734,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,246,sympy__sympy-16450,False,True,True,1150220,592826,1.94,1.7745090164665016,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,247,django__django-13821,True,True,True,1344878,442957.2,3.036,1.5468479058327886,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,248,sympy__sympy-16766,False,True,False,1062450,486975,2.182,-2.153523967699069,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,249,django__django-13933,False,True,True,1156016,479662.2,2.41,0.27848406061954306,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,250,sympy__sympy-17139,False,True,True,1230544,425116.4,2.895,1.7438961648488749,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,251,django__django-14089,False,True,True,441256,342297,1.289,1.1058030322757517,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,252,sympy__sympy-17655,False,True,True,1091029,339995.8,3.209,1.5742807367352756,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,253,django__django-14373,True,True,True,479159,426192.8,1.124,1.0725477144082762,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,254,sympy__sympy-19637,True,True,True,532579,408282.2,1.304,1.1438385250561354,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,255,django__django-14493,False,True,False,603445,342394,1.762,-0.412383154184381,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,256,sympy__sympy-19954,False,True,True,2404963,659928,3.644,2.8623759358100327,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,257,django__django-14539,False,False,False,2017063,565771.4,3.565,-0.5743834126363018,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,258,sympy__sympy-21847,False,True,True,709077,372026.2,1.906,1.3110902840630365,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,259,django__django-14580,False,True,True,759937,222127.6,3.421,1.5252015095226976,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,260,sympy__sympy-22714,False,False,True,1513961,524010,2.889,1.3895720637413869,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,261,django__django-14752,False,True,True,546890,204506.2,2.674,2.0402057530182085,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,262,sympy__sympy-23534,False,True,True,1651100,978795,1.687,0.20220651379575916,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,263,django__django-14855,False,True,True,1576654,417196.8,3.779,2.2526371982502735,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,264,sympy__sympy-24539,False,True,True,935869,433562.4,2.159,0.30929772557999974,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,265,django__django-14915,False,True,True,1189263,269618.8,4.411,1.6796351832765193,5
m9,5CFqU2SsJbZjGwWS8cwjcCWrXxEo7gEpsE76SagDCihCmsMY,266,sympy__sympy-24562,False,False,False,2565539,397368,6.456,-0.6664125017632918,5
m10,5GL4KxdashDdVd7twAGNoooPwTdkoxmcYKiEMiUBAQQaJKPh,217,django__django-10880,False,True,True,1126760,432785.6,2.604,1.4633651003123507,5
m10,5GL4KxdashDdVd7twAGNoooPwTdkoxmcYKiEMiUBAQQaJKPh,218,django__django-14999,False,False,False,1584982,650015.8,2.438,1.1096435599008496,5
m10,5GL4KxdashDdVd7twAGNoooPwTdkoxmcYKiEMiUBAQQaJKPh,219,django__django-10914,False,True,True,1229179,466945,2.632,1.488598538448355,5
m10,5GL4KxdashDdVd7twAGNoooPwTdkoxmcYKiEMiUBAQQaJKPh,220,django__django-15315,False,True,True,2228314,578165.2,3.854,1.6675427552236108,5
m10,5GL4KxdashDdVd7twAGNoooPwTdkoxmcYKiEMiUBAQQaJKPh,221,django__django-11119,False,True,True,885390,348485,2.541,1.496758354324714,5
